h,ffnh,numh,numl,lr,bs,ti,loss,smooth loss,exp_name,D,N,D/N
1024,9552,16,8,0.001381,512,76293,2.304481,2.3160837502079796,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.381e-03_bs512_ti76293_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.0004883,352,138716,2.367824,2.3721272288581146,step2v2_0618_h960_ffnh9368_numh15_numl7_lr4.883e-04_bs352_ti138716_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.001381,2048,11920,2.313875,2.306798032469871,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.381e-03_bs2048_ti11920_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.001381,128,305175,2.343847,2.3197778610947686,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.381e-03_bs128_ti305175_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.007812,352,138716,2.354422,2.359829980909621,step2v2_0618_h960_ffnh9368_numh15_numl7_lr7.812e-03_bs352_ti138716_mlr1.00e-05,100000000000,214663680,465.84499063837904
1024,9552,16,8,0.0003453,2048,19073,2.402965,2.4043065777094954,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr3.453e-04_bs2048_ti19073_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.005524,2048,23841,2.348586,2.3569206247029175,step2v2_0618_h960_ffnh9368_numh15_numl7_lr5.524e-03_bs2048_ti23841_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.0003453,512,47683,2.304007,2.299321093341506,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.453e-04_bs512_ti47683_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.003906,192,254313,2.398822,2.360023059825179,step2v2_0618_h960_ffnh9368_numh15_numl7_lr3.906e-03_bs192_ti254313_mlr1.00e-05,100000000000,214663680,465.84499063837904
960,9368,15,7,0.0009766,736,66342,2.380266,2.365008412520753,step2v2_0618_h960_ffnh9368_numh15_numl7_lr9.766e-04_bs736_ti66342_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.0004883,32,762939,2.339247,2.3180113133507807,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs32_ti762939_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.001953,128,305175,2.345885,2.3226548401680245,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.953e-03_bs128_ti305175_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.003906,512,95367,2.349219,2.3463578313704248,step2v2_0618_h960_ffnh9368_numh15_numl7_lr3.906e-03_bs512_ti95367_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.005524,64,381469,2.451329,2.3634505603663296,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr5.524e-03_bs64_ti381469_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.0006905,512,76293,2.322052,2.3334091715052625,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr6.905e-04_bs512_ti76293_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.005524,128,190734,2.30591,2.3042890662192463,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr5.524e-03_bs128_ti190734_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.003906,192,127156,2.284299,2.2715481940965225,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.906e-03_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.0003453,64,762939,2.378493,2.3800139868768078,step2v2_0618_h960_ffnh9368_numh15_numl7_lr3.453e-04_bs64_ti762939_mlr1.00e-05,100000000000,214663680,465.84499063837904
1024,9552,16,8,0.0006905,32,1220703,2.305035,2.376927324474491,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr6.905e-04_bs32_ti1220703_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.0002441,2048,19073,2.425176,2.4270214194906825,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr2.441e-04_bs2048_ti19073_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.001953,1024,38146,2.308038,2.320888451295172,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.953e-03_bs1024_ti38146_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.005524,128,381469,2.44805,2.3863945187244533,step2v2_0618_h960_ffnh9368_numh15_numl7_lr5.524e-03_bs128_ti381469_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.0006905,736,33171,2.29635,2.2866289161539206,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr6.905e-04_bs736_ti33171_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.0004883,352,69358,2.290966,2.2823513992552504,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs352_ti69358_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.007812,736,53074,2.297729,2.308231810036287,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr7.812e-03_bs736_ti53074_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.001953,352,110973,2.301741,2.3111703526347482,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.953e-03_bs352_ti110973_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.007812,128,381469,2.462305,2.399498174907446,step2v2_0618_h960_ffnh9368_numh15_numl7_lr7.812e-03_bs128_ti381469_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.001381,256,95367,2.262294,2.260117609229543,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr1.381e-03_bs256_ti95367_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.0003453,128,190734,2.280056,2.2823429680594822,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.453e-04_bs128_ti190734_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.003906,2048,19073,2.328963,2.330230268061466,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr3.906e-03_bs2048_ti19073_mlr1.00e-05,80000000000,268304384,298.1688141182218
1280,9472,10,10,0.002762,192,127156,2.275622,2.2642161642142917,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr2.762e-03_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.0009766,352,110973,2.311249,2.319547488464761,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr9.766e-04_bs352_ti110973_mlr1.00e-05,80000000000,268304384,298.1688141182218
1024,9552,16,8,0.01105,2048,19073,2.367356,2.3690214679324963,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr1.105e-02_bs2048_ti19073_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.001381,64,762939,2.37255,2.376007011092981,step2v2_0618_h960_ffnh9368_numh15_numl7_lr1.381e-03_bs64_ti762939_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.0004883,512,47683,2.292848,2.2889786080326493,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr4.883e-04_bs512_ti47683_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.0002441,64,610351,2.361363,2.354903048153951,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr2.441e-04_bs64_ti610351_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.01105,32,1525878,2.552112,2.532804071823813,step2v2_0618_h960_ffnh9368_numh15_numl7_lr1.105e-02_bs32_ti1525878_mlr1.00e-05,100000000000,214663680,465.84499063837904
960,9368,15,7,0.0006905,2048,23841,2.395864,2.403909365271511,step2v2_0618_h960_ffnh9368_numh15_numl7_lr6.905e-04_bs2048_ti23841_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.0006905,192,127156,2.276015,2.269377645570819,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr6.905e-04_bs192_ti127156_mlr1.00e-05,50000000000,429260800,116.47930582061069
1280,9472,10,10,0.0003453,2048,11920,2.361223,2.3545836483252436,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr3.453e-04_bs2048_ti11920_mlr1.00e-05,50000000000,429260800,116.47930582061069
1024,9552,16,8,0.003906,256,152587,2.308826,2.3149742679769227,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr3.906e-03_bs256_ti152587_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.003906,64,762939,2.404886,2.4063818956193916,step2v2_0618_h960_ffnh9368_numh15_numl7_lr3.906e-03_bs64_ti762939_mlr1.00e-05,100000000000,214663680,465.84499063837904
1024,9552,16,8,0.003906,128,305175,2.364594,2.340630737239656,step2v2_0618_h1024_ffnh9552_numh16_numl8_lr3.906e-03_bs128_ti305175_mlr1.00e-05,80000000000,268304384,298.1688141182218
960,9368,15,7,0.007812,736,66342,2.360298,2.346051504113463,step2v2_0618_h960_ffnh9368_numh15_numl7_lr7.812e-03_bs736_ti66342_mlr1.00e-05,100000000000,214663680,465.84499063837904
1280,9472,10,10,0.0006905,64,381469,2.375091,2.2853229532192563,step2v2_0618_h1280_ffnh9472_numh10_numl10_lr6.905e-04_bs64_ti381469_mlr1.00e-05,50000000000,429260800,116.47930582061069
960,9368,15,7,0.0002441,64,762939,2.383864,2.38698560599479,step2v2_0618_h960_ffnh9368_numh15_numl7_lr2.441e-04_bs64_ti762939_mlr1.00e-05,100000000000,214663680,465.84499063837904
960,9368,15,7,0.001953,32,1525878,2.452338,2.4305214250147875,step2v2_0618_h960_ffnh9368_numh15_numl7_lr1.953e-03_bs32_ti1525878_mlr1.00e-05,100000000000,214663680,465.84499063837904
